"County,Duchy,Kingdom,Empire,Religion,Culture"
"Snowdon,Gwynedd,Wales,Britannia,Catholicism,Welsh"
"Anglesey,Gwynedd,Wales,Britannia,Catholicism,Welsh"
"Perfeddwlad,Gwynedd,Wales,Britannia,Catholicism,Welsh"
"Penllyn,Powys,Wales,Britannia,Catholicism,Welsh"
"Ferlix,Powys,Wales,Britannia,Catholicism,Welsh"
"Herefordshire,Powys,Wales,Britannia,Catholicism,Anglo-Saxon"
"Carmarthenshire,Deheubarth,Wales,Britannia,Catholicism,Welsh"
"Dyfed,Deheubarth,Wales,Britannia,Catholicism,Welsh"
"Glamorgan,Deheubarth,Wales,Britannia,Catholicism,Welsh"
"Gwent,Deheubarth,Wales,Britannia,Catholicism,Welsh"
"Brecknock,Deheubarth,Wales,Britannia,Catholicism,Welsh"
"Gowrie,Albany,Scotland,Britannia,Catholicism,Pictish"
"Fife,Albany,Scotland,Britannia,Catholicism,Pictish"
"Strathearn,Albany,Scotland,Britannia,Catholicism,Cumbrian"
"Atholl,Albany,Scotland,Britannia,Catholicism,Pictish"
"Angus,Albany,Scotland,Britannia,Catholicism,Pictish"
"Mearns,Albany,Scotland,Britannia,Catholicism,Pictish"
"Isle_of_Man,Mann,Scotland,Britannia,Catholicism,Cumbrian"
"Lennox,Strathclyde,Scotland,Britannia,Catholicism,Cumbrian"
"Galloway,Strathclyde,Scotland,Britannia,Catholicism,Cumbrian"
"Carrick,Strathclyde,Scotland,Britannia,Catholicism,Cumbrian"
"Ayrshire,Strathclyde,Scotland,Britannia,Catholicism,Cumbrian"
"Annandale,Strathclyde,Scotland,Britannia,Catholicism,Cumbrian"
"Inner_Hebrides,the_Isles,Scotland,Britannia,Insular_Christianity,Gaelic"
"Outer_Hebrides,the_Isles,Scotland,Britannia,Catholicism,Gaelic"
"Argyll,the_Isles,Scotland,Britannia,Catholicism,Gaelic"
"Lothian,Lothian,Scotland,Britannia,Catholicism,Cumbrian"
"Dunbar,Lothian,Scotland,Britannia,Catholicism,Cumbrian"
"Teviotdale,Lothian,Scotland,Britannia,Catholicism,Cumbrian"
"Linlithgowshire,Lothian,Scotland,Britannia,Catholicism,Cumbrian"
"Lanarkshire,Lothian,Scotland,Britannia,Catholicism,Cumbrian"
"Moray,Moray,Scotland,Britannia,Catholicism,Pictish"
"Ross,Moray,Scotland,Britannia,Catholicism,Pictish"
"Buchan,Moray,Scotland,Britannia,Catholicism,Pictish"
"Sutherland,Moray,Scotland,Britannia,Catholicism,Pictish"
"Caithness,Moray,Scotland,Britannia,Catholicism,Gaelic"
"Inverness,Moray,Scotland,Britannia,Catholicism,Pictish"
"Dublin,Meath,Ireland,Britannia,Insular_Christianity,Irish"
"Athlone,Meath,Ireland,Britannia,Insular_Christianity,Irish"
"Ulster,Ulster,Ireland,Britannia,Insular_Christianity,Irish"
"Oriel,Ulster,Ireland,Britannia,Insular_Christianity,Irish"
"Ailech,Ulster,Ireland,Britannia,Insular_Christianity,Irish"
"Connacht,Connacht,Ireland,Britannia,Insular_Christianity,Irish"
"Breifne,Connacht,Ireland,Britannia,Insular_Christianity,Irish"
"Leinster,Leinster,Ireland,Britannia,Insular_Christianity,Irish"
"Ossory,Leinster,Ireland,Britannia,Insular_Christianity,Irish"
"Thomond,Munster,Ireland,Britannia,Insular_Christianity,Irish"
"Ormond,Munster,Ireland,Britannia,Insular_Christianity,Irish"
"Desmond,Munster,Ireland,Britannia,Insular_Christianity,Irish"
"Dessau,Anhalt,Saxony,Germania,Catholicism,Polabian"
"Halberstadt,Anhalt,Saxony,Germania,Catholicism,Saxon"
"Magdeburg,Anhalt,Saxony,Germania,Catholicism,Polabian"
"Blankenburg,Anhalt,Saxony,Germania,Catholicism,Saxon"
"Mansfeld,Anhalt,Saxony,Germania,Catholicism,Saxon"
"Mersenburg,Anhalt,Saxony,Germania,Catholicism,Polabian"
"Minden,Angria,Saxony,Germania,Catholicism,Saxon"
"Lippe,Angria,Saxony,Germania,Catholicism,Saxon"
"Bremen,Angria,Saxony,Germania,Catholicism,Saxon"
"Wolpe,Angria,Saxony,Germania,Catholicism,Saxon"
"Hannover,Angria,Saxony,Germania,Catholicism,Saxon"
"Hildesheim,Angria,Saxony,Germania,Catholicism,Saxon"
"Oldenburg,Angria,Saxony,Germania,Catholicism,Saxon"
"Osnabrück,Westfalen,Saxony,Germania,Catholicism,Saxon"
"Tecklenburg,Westfalen,Saxony,Germania,Catholicism,Saxon"
"Munster,Westfalen,Saxony,Germania,Catholicism,Saxon"
"Waldeck,Westfalen,Saxony,Germania,Catholicism,Saxon"
"Paderborn,Westfalen,Saxony,Germania,Catholicism,Saxon"
"Lüneburg,Ostfalen,Saxony,Germania,Catholicism,Saxon"
"Brunswick,Ostfalen,Saxony,Germania,Catholicism,Saxon"
"Hamburg,Ostfalen,Saxony,Germania,Catholicism,Saxon"
"Dannenberg,Ostfalen,Saxony,Germania,Catholicism,Polabian"
"Stendal,Ostfalen,Saxony,Germania,Catholicism,Polabian"
"Meissen,Meissen,Saxony,Germania,Slovianska_Pravda,Polabian"
"Dresden,Meissen,Saxony,Germania,Slovianska_Pravda,Polabian"
"Wolkenstein,Meissen,Saxony,Germania,Slovianska_Pravda,Polabian"
"Osterland,Meissen,Saxony,Germania,Slovianska_Pravda,Polabian"
"Naumberg,Meissen,Saxony,Germania,Slovianska_Pravda,Polabian"
"Vogtland,Meissen,Saxony,Germania,Slovianska_Pravda,Polabian"
"Cottbus,Meissen,Saxony,Germania,Slovianska_Pravda,Polabian"
"Görlitz,Meissen,Saxony,Germania,Slovianska_Pravda,Polabian"
"Jüterbog,Lausitz,Saxony,Germania,Slovianska_Pravda,Polabian"
"Wittenberg,Lausitz,Saxony,Germania,Slovianska_Pravda,Polabian"
"Brene,Lausitz,Saxony,Germania,Slovianska_Pravda,Polabian"
"Spreewald,Lausitz,Saxony,Germania,Slovianska_Pravda,Polabian"
"Lubsko,Lausitz,Saxony,Germania,Slovianska_Pravda,Polabian"
"Lubeck,Holstein,Saxony,Germania,Slovianska_Pravda,Polabian"
"Stade,Holstein,Saxony,Germania,Catholicism,Saxon"
"Ditmarschen,Holstein,Saxony,Germania,Catholicism,Saxon"
"Schmalkalden,Thüringia,Saxony,Germania,Catholicism,Franconian"
"Göttingen,Thüringia,Saxony,Germania,Catholicism,Franconian"
"Gleichenstein,Thüringia,Saxony,Germania,Catholicism,Franconian"
"Orlamünde,Thüringia,Saxony,Germania,Catholicism,Polabian"
"Lobdaburg,Thüringia,Saxony,Germania,Catholicism,Polabian"
"Holland,Holland,Frisia,Germania,Catholicism,Dutch"
"Westfriesland,Holland,Frisia,Germania,Catholicism,Dutch"
"Zeeland,Holland,Frisia,Germania,Catholicism,Dutch"
"Guelders,Gelre,Frisia,Germania,Catholicism,Dutch"
"Arnheim,Gelre,Frisia,Germania,Catholicism,Dutch"
"Zutphen,Gelre,Frisia,Germania,Catholicism,Dutch"
"Nedersticht,Utrecht,Frisia,Germania,Catholicism,Dutch"
"Oversticht,Utrecht,Frisia,Germania,Catholicism,Dutch"
"Groningen,Utrecht,Frisia,Germania,Catholicism,Dutch"
"Dokkum,Frisia,Frisia,Germania,Catholicism,Dutch"
"Ostfriesland,Frisia,Frisia,Germania,Catholicism,Dutch"
"Frisia,Frisia,Frisia,Germania,Catholicism,Dutch"
"Luxembourg,Luxembourg,Lotharingia,Germania,Catholicism,French"
"Bouillon,Luxembourg,Lotharingia,Germania,Catholicism,French"
"Liege,Luxembourg,Lotharingia,Germania,Catholicism,French"
"Namur,Luxembourg,Lotharingia,Germania,Catholicism,French"
"Brabant,Brabant,Lotharingia,Germania,Catholicism,Franconian"
"Antwerpen,Brabant,Lotharingia,Germania,Catholicism,Franconian"
"Hainaut,Brabant,Lotharingia,Germania,Catholicism,French"
"Cambray,Brabant,Lotharingia,Germania,Catholicism,French"
"Aachen,Jülich,Lotharingia,Germania,Catholicism,Franconian"
"Cleves,Jülich,Lotharingia,Germania,Catholicism,Franconian"
"Maastricht,Jülich,Lotharingia,Germania,Catholicism,Franconian"
"Trier,Upper_Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Nancy,Upper_Lorraine,Lotharingia,Germania,Catholicism,French"
"Metz,Upper_Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Saarbrücken,Upper_Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Puttlingen,Upper_Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Neufchâteau,Upper_Lorraine,Lotharingia,Germania,Catholicism,French"
"Cologne,Lower_Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Dortmund,Lower_Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Arnsberg,Lower_Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Mark,Lower_Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Koblenz,Lower_Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Berg,Lower_Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Sayn,Lower_Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Regensburg,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"München,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Eschenlohe,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Rothenburg,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Geisenhausen,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Frontenhausen,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Falkenstein,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Ingolstadt,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Passau,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Eichstätt,Nordgau,Bavaria,Germania,Catholicism,Bavarian"
"Leuchtenburg,Nordgau,Bavaria,Germania,Catholicism,Bavarian"
"Parsberg,Nordgau,Bavaria,Germania,Catholicism,Bavarian"
"Hohenburg,Nordgau,Bavaria,Germania,Catholicism,Bavarian"
"Salzburg,Salzburg,Bavaria,Germania,Catholicism,Bavarian"
"Berchtesgaden,Salzburg,Bavaria,Germania,Catholicism,Bavarian"
"Hallstatt,Salzburg,Bavaria,Germania,Catholicism,Bavarian"
"Linz,Salzburg,Bavaria,Germania,Catholicism,Bavarian"
"Schaumberg,Salzburg,Bavaria,Germania,Catholicism,Bavarian"
"Augsburg,Augsburg,Bavaria,Germania,Catholicism,Swabian"
"Alpsee,Augsburg,Bavaria,Germania,Catholicism,Swabian"
"Kempten,Augsburg,Bavaria,Germania,Catholicism,Swabian"
"Ravensburg,Augsburg,Bavaria,Germania,Catholicism,Swabian"
"Burgau,Augsburg,Bavaria,Germania,Catholicism,Swabian"
"Graz,Steyermark,Bavaria,Germania,Catholicism,Bavarian"
"Pitten,Steyermark,Bavaria,Germania,Catholicism,Bavarian"
"Leibnitz,Steyermark,Bavaria,Germania,Catholicism,Bavarian"
"Mürzzuschlag,Steyermark,Bavaria,Germania,Catholicism,Bavarian"
"Wien,Austria,Bavaria,Germania,Catholicism,Bavarian"
"Hohenau,Austria,Bavaria,Germania,Catholicism,Bavarian"
"Sankt_Pölten,Austria,Bavaria,Germania,Catholicism,Bavarian"
"Freistadt,Austria,Bavaria,Germania,Catholicism,Bavarian"
"Amstetten,Austria,Bavaria,Germania,Catholicism,Bavarian"
"Krems,Austria,Bavaria,Germania,Catholicism,Bavarian"
"Innsbruck,Tyrol,Bavaria,Germania,Catholicism,Bavarian"
"Brixen,Tyrol,Bavaria,Germania,Catholicism,Bavarian"
"Lienz,Tyrol,Bavaria,Germania,Catholicism,Bavarian"
"Kärnten,Carinthia,Bavaria,Germania,Catholicism,Bavarian"
"Kammersberg,Carinthia,Bavaria,Germania,Catholicism,Bavarian"
"Knittelfeld,Carinthia,Bavaria,Germania,Catholicism,Bavarian"
"Villach,Carinthia,Bavaria,Germania,Catholicism,Bavarian"
"Kranj,Krain,Bavaria,Germania,Catholicism,Croatian"
"Ljubljana,Krain,Bavaria,Germania,Catholicism,Croatian"
"Pula,Istria,Bavaria,Germania,Catholicism,Croatian"
"Frankfurt,West_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Mainz,West_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Klingenberg,West_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Erbach,West_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Worms,West_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Speyer,West_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Vaihingen,West_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Durne,West_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Kaiserslautern,West_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Würzburg,East_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Ansbach,East_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Coburg,East_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Hohenlohe,East_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Nürnberg,East_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Bamberg,East_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Nördlingen,East_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Wiltberg,East_Franconia,East_Francia,Germania,Catholicism,Franconian"
"Kassel,Hesse,East_Francia,Germania,Catholicism,Franconian"
"Fulda,Hesse,East_Francia,Germania,Catholicism,Franconian"
"Nassau,Hesse,East_Francia,Germania,Catholicism,Franconian"
"Marburg,Hesse,East_Francia,Germania,Catholicism,Franconian"
"Grisons,Currezia,East_Francia,Germania,Catholicism,Swabian"
"Sankt_Gallen,Currezia,East_Francia,Germania,Catholicism,Swabian"
"Zürich,Currezia,East_Francia,Germania,Catholicism,Swabian"
"Strassburg,Alsace,East_Francia,Germania,Catholicism,Swabian"
"Breisgau,Alsace,East_Francia,Germania,Catholicism,Swabian"
"Colmar,Alsace,East_Francia,Germania,Catholicism,Swabian"
"Sundgau,Alsace,East_Francia,Germania,Catholicism,Swabian"
"Ulm,Swabia,East_Francia,Germania,Catholicism,Swabian"
"Grünningen,Swabia,East_Francia,Germania,Catholicism,Swabian"
"Württemberg,Swabia,East_Francia,Germania,Catholicism,Swabian"
"Baden,Swabia,East_Francia,Germania,Catholicism,Swabian"
"Zollern,Swabia,East_Francia,Germania,Catholicism,Swabian"
"Hohenberg,Swabia,East_Francia,Germania,Catholicism,Swabian"
"Furstenberg,Swabia,East_Francia,Germania,Catholicism,Swabian"
"Praha,Bohemia,Bohemia,Germania,Slovianska_Pravda,Czech"
"Litoměřice,Bohemia,Bohemia,Germania,Slovianska_Pravda,Czech"
"Žatec,Bohemia,Bohemia,Germania,Slovianska_Pravda,Czech"
"Plzeň,Bohemia,Bohemia,Germania,Slovianska_Pravda,Czech"
"Doudleby,Bohemia,Bohemia,Germania,Slovianska_Pravda,Czech"
"Boleslav,Bohemia,Bohemia,Germania,Slovianska_Pravda,Czech"
"Hradec,Bohemia,Bohemia,Germania,Slovianska_Pravda,Czech"
"Čáslav,Bohemia,Bohemia,Germania,Slovianska_Pravda,Czech"
"Olomouc,Moravia,Bohemia,Germania,Slovianska_Pravda,Slovien"
"Opava,Moravia,Bohemia,Germania,Slovianska_Pravda,Slovien"
"Přerov,Moravia,Bohemia,Germania,Slovianska_Pravda,Slovien"
"Brno,Moravia,Bohemia,Germania,Slovianska_Pravda,Slovien"
"Jihlava,Moravia,Bohemia,Germania,Slovianska_Pravda,Slovien"
"Znojmo,Moravia,Bohemia,Germania,Slovianska_Pravda,Slovien"
"Byzantion,Thrace,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Kalliopolis,Thrace,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Brysis,Thrace,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Mosynopolis,Strymon,Thessalonika,Byzantine_Empire,Orthodoxy,Serbian"
"Serres,Strymon,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Naxos,Aegean_Islands,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Abydos,Aegean_Islands,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Lesbos,Aegean_Islands,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Chios,Aegean_Islands,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Rhodos,Aegean_Islands,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Thessalonika,Thessalonika,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Chalkidike,Thessalonika,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Veria,Thessalonika,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Thessalia,Thessali,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Demetrias,Thessali,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Neopatras,Thessali,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Thessaliotis,Thessali,Thessalonika,Byzantine_Empire,Orthodoxy,Greek"
"Nicpolis,Epirus,Epirus,Byzantine_Empire,Orthodoxy,Greek"
"Epeiros,Epirus,Epirus,Byzantine_Empire,Orthodoxy,Greek"
"Aetolia,Epirus,Epirus,Byzantine_Empire,Orthodoxy,Greek"
"Metzovo,Epirus,Epirus,Byzantine_Empire,Orthodoxy,Greek"
"Dyrrachion,Dyrrachion,Epirus,Byzantine_Empire,Orthodoxy,Greek"
"Arbanon,Dyrrachion,Epirus,Byzantine_Empire,Orthodoxy,Greek"
"Debar,Dyrrachion,Epirus,Byzantine_Empire,Orthodoxy,Greek"
"Antipatreia,Dyrrachion,Epirus,Byzantine_Empire,Orthodoxy,Greek"
"Avlonas,Dyrrachion,Epirus,Byzantine_Empire,Orthodoxy,Greek"
"Cephalonia,Cephalonia,Epirus,Byzantine_Empire,Orthodoxy,Greek"
"Buthrotum,Cephalonia,Epirus,Byzantine_Empire,Orthodoxy,Greek"
"Attica,Athens,Hellas,Byzantine_Empire,Orthodoxy,Greek"
"Boeotia,Athens,Hellas,Byzantine_Empire,Orthodoxy,Greek"
"Euboea,Athens,Hellas,Byzantine_Empire,Orthodoxy,Greek"
"Achaia,Achaia,Hellas,Byzantine_Empire,Orthodoxy,Greek"
"Korinthos,Achaia,Hellas,Byzantine_Empire,Orthodoxy,Greek"
"Messenia,Achaia,Hellas,Byzantine_Empire,Orthodoxy,Greek"
"Laconia,Achaia,Hellas,Byzantine_Empire,Orthodoxy,Greek"
"Chandax,Krete,Krete,Byzantine_Empire,Orthodoxy,Greek"
"Chania,Krete,Krete,Byzantine_Empire,Orthodoxy,Greek"
"Zadar,Dalmatia,Croatia,Byzantine_Empire,Catholicism,Croatian"
"Knin,Dalmatia,Croatia,Byzantine_Empire,Catholicism,Croatian"
"Cetina,Dalmatia,Croatia,Byzantine_Empire,Catholicism,Croatian"
"Gacka,Croatia,Croatia,Byzantine_Empire,Catholicism,Croatian"
"Lika,Croatia,Croatia,Byzantine_Empire,Catholicism,Croatian"
"Charso,Croatia,Croatia,Byzantine_Empire,Catholicism,Croatian"
"Modruš,Croatia,Croatia,Byzantine_Empire,Catholicism,Croatian"
"Zagreb,Slavonia,Croatia,Byzantine_Empire,Catholicism,Croatian"
"Zagorje,Slavonia,Croatia,Byzantine_Empire,Catholicism,Croatian"
"Požega,Slavonia,Croatia,Byzantine_Empire,Catholicism,Croatian"
"Vukovár,Slavonia,Croatia,Byzantine_Empire,Catholicism,Croatian"
"Rama,Bosnia,Croatia,Byzantine_Empire,Krstjani,Bosnian"
"Donji_Kraji,Bosnia,Croatia,Byzantine_Empire,Krstjani,Bosnian"
"Vhrbosna,Bosnia,Croatia,Byzantine_Empire,Krstjani,Bosnian"
"Krajina,Bosnia,Croatia,Byzantine_Empire,Krstjani,Croatian"
"Vrbas,Bosnia,Croatia,Byzantine_Empire,Krstjani,Croatian"
"Usora,Bosnia,Croatia,Byzantine_Empire,Krstjani,Croatian"
"Soli,Bosnia,Croatia,Byzantine_Empire,Krstjani,Croatian"
"Pset,Bosnia,Croatia,Byzantine_Empire,Krstjani,Bosnian"
"Zachlumia,Zachlumia,Croatia,Byzantine_Empire,Slovianska_Pravda,Bosnian"
"Završje,Zachlumia,Croatia,Byzantine_Empire,Krstjani,Bosnian"
"Paganija,Zachlumia,Croatia,Byzantine_Empire,Catholicism,Croatian"
"Ragusa,Dubrovnik,Croatia,Byzantine_Empire,Slovianska_Pravda,Serbian"
"Rashka,Rashka,Serbia,Byzantine_Empire,Slovianska_Pravda,Serbian"
"Šumadija,Rashka,Serbia,Byzantine_Empire,Orthodoxy,Serbian"
"Podrinje,Rashka,Serbia,Byzantine_Empire,Orthodoxy,Serbian"
"Hvosno,Rashka,Serbia,Byzantine_Empire,Orthodoxy,Serbian"
"Mačva,Mačva,Serbia,Byzantine_Empire,Orthodoxy,Serbian"
"Beograd,Mačva,Serbia,Byzantine_Empire,Slovianska_Pravda,Serbian"
"Duklja,Duklja,Serbia,Byzantine_Empire,Slovianska_Pravda,Serbian"
"Pomorje,Duklja,Serbia,Byzantine_Empire,Orthodoxy,Serbian"
"Travunija,Duklja,Serbia,Byzantine_Empire,Orthodoxy,Serbian"
"Vidin,Vidin,Bulgaria,Byzantine_Empire,Slovianska_Pravda,Vlach"
"Braničevo,Vidin,Bulgaria,Byzantine_Empire,Slovianska_Pravda,Vlach"
"Tarnovgrad,Moesia,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Sredets,Moesia,Bulgaria,Byzantine_Empire,Orthodoxy,Serbian"
"Nikopolis,Moesia,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Silistra,Moesia,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Vratsa,Moesia,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Aytos,Moesia,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Constanta,Dobrudja,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Mesembria,Dobrudja,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Naissus,Bulgaria,Bulgaria,Byzantine_Empire,Orthodoxy,Vlach"
"Niš,Bulgaria,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Velbazhd,Bulgaria,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Pirin,Bulgaria,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Strumica,Bulgaria,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Skopje,Bulgaria,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Ohrid,Bulgaria,Bulgaria,Byzantine_Empire,Orthodoxy,Serbian"
"Philippopolis,Philippopolis,Bulgaria,Byzantine_Empire,Orthodoxy,Greek"
"Kran,Philippopolis,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Beroë,Philippopolis,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Burgas,Philippopolis,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Adrianopolis,Philippopolis,Bulgaria,Byzantine_Empire,Orthodoxy,Greek"
"Zherkovo,Philippopolis,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Rhodopes,Philippopolis,Bulgaria,Byzantine_Empire,Orthodoxy,Bulgarian"
"Nicosia,Cyprus,Cyprus,Byzantine_Empire,Orthodoxy,Greek"
"Famagusta,Cyprus,Cyprus,Byzantine_Empire,Orthodoxy,Greek"
"Nikaea,Opsikion,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
"Mysia,Opsikion,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
"Prusa,Opsikion,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
"Phrygia,Opsikion,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
"Ionia,Ephesos,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
"Aeolis,Ephesos,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
"Lydia,Thracesia,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
"Thyatira,Thracesia,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
"Hadrianeia,Thracesia,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
"Chonae,Thracesia,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
"Bithynia,Optimatoi,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
"Tarsos,Optimatoi,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
"Honorias,Bucellaria,Nikaea,Byzantine_Empire,Orthodoxy,Greek"
