"County,Duchy,Kingdom,Empire,Religion,Culture"
"Snowdon,Gwynedd,Wales,Britannia,Catholicism,Welsh"
"Anglesey,Gwynedd,Wales,Britannia,Catholicism,Welsh"
"Perfeddwlad,Gwynedd,Wales,Britannia,Catholicism,Welsh"
"Penllyn,Powys,Wales,Britannia,Catholicism,Welsh"
"Ferlix,Powys,Wales,Britannia,Catholicism,Welsh"
"Herefordshire,Powys,Wales,Britannia,Catholicism,Anglo-Saxon"
"Carmarthenshire,Deheubarth,Wales,Britannia,Catholicism,Welsh"
"Dyfed,Deheubarth,Wales,Britannia,Catholicism,Welsh"
"Glamorgan,Deheubarth,Wales,Britannia,Catholicism,Welsh"
"Gwent,Deheubarth,Wales,Britannia,Catholicism,Welsh"
"Brecknock,Deheubarth,Wales,Britannia,Catholicism,Welsh"
"Gowrie,Albany,Scotland,Britannia,Catholicism,Pictish"
"Fife,Albany,Scotland,Britannia,Catholicism,Pictish"
"Strathearn,Albany,Scotland,Britannia,Catholicism,Cumbrian"
"Atholl,Albany,Scotland,Britannia,Catholicism,Pictish"
"Angus,Albany,Scotland,Britannia,Catholicism,Pictish"
"Mearns,Albany,Scotland,Britannia,Catholicism,Pictish"
"Isle of Man,Mann,Scotland,Britannia,Catholicism,Cumbrian"
"Lennox,Strathclyde,Scotland,Britannia,Catholicism,Cumbrian"
"Galloway,Strathclyde,Scotland,Britannia,Catholicism,Cumbrian"
"Carrick,Strathclyde,Scotland,Britannia,Catholicism,Cumbrian"
"Ayrshire,Strathclyde,Scotland,Britannia,Catholicism,Cumbrian"
"Annandale,Strathclyde,Scotland,Britannia,Catholicism,Cumbrian"
"Inner Hebrides,the Isles,Scotland,Britannia,Insular Christianity,Gaelic"
"Outer Hebrides,the Isles,Scotland,Britannia,Catholicism,Gaelic"
"Argyll,the Isles,Scotland,Britannia,Catholicism,Gaelic"
"Lothian,Lothian,Scotland,Britannia,Catholicism,Cumbrian"
"Dunbar,Lothian,Scotland,Britannia,Catholicism,Cumbrian"
"Teviotdale,Lothian,Scotland,Britannia,Catholicism,Cumbrian"
"Linlithgowshire,Lothian,Scotland,Britannia,Catholicism,Cumbrian"
"Lanarkshire,Lothian,Scotland,Britannia,Catholicism,Cumbrian"
"Moray,Moray,Scotland,Britannia,Catholicism,Pictish"
"Ross,Moray,Scotland,Britannia,Catholicism,Pictish"
"Buchan,Moray,Scotland,Britannia,Catholicism,Pictish"
"Sutherland,Moray,Scotland,Britannia,Catholicism,Pictish"
"Caithness,Moray,Scotland,Britannia,Catholicism,Gaelic"
"Inverness,Moray,Scotland,Britannia,Catholicism,Pictish"
"Dublin,Meath,Ireland,Britannia,Insular Christianity,Irish"
"Athlone,Meath,Ireland,Britannia,Insular Christianity,Irish"
"Ulster,Ulster,Ireland,Britannia,Insular Christianity,Irish"
"Oriel,Ulster,Ireland,Britannia,Insular Christianity,Irish"
"Ailech,Ulster,Ireland,Britannia,Insular Christianity,Irish"
"Connacht,Connacht,Ireland,Britannia,Insular Christianity,Irish"
"Breifne,Connacht,Ireland,Britannia,Insular Christianity,Irish"
"Leinster,Leinster,Ireland,Britannia,Insular Christianity,Irish"
"Ossory,Leinster,Ireland,Britannia,Insular Christianity,Irish"
"Thomond,Munster,Ireland,Britannia,Insular Christianity,Irish"
"Ormond,Munster,Ireland,Britannia,Insular Christianity,Irish"
"Desmond,Munster,Ireland,Britannia,Insular Christianity,Irish"
"Dessau,Anhalt,Saxony,Germania,Catholicism,Polabian"
"Halberstadt,Anhalt,Saxony,Germania,Catholicism,Saxon"
"Magdeburg,Anhalt,Saxony,Germania,Catholicism,Polabian"
"Blankenburg,Anhalt,Saxony,Germania,Catholicism,Saxon"
"Mansfeld,Anhalt,Saxony,Germania,Catholicism,Saxon"
"Mersenburg,Anhalt,Saxony,Germania,Catholicism,Polabian"
"Minden,Angria,Saxony,Germania,Catholicism,Saxon"
"Lippe,Angria,Saxony,Germania,Catholicism,Saxon"
"Bremen,Angria,Saxony,Germania,Catholicism,Saxon"
"Wolpe,Angria,Saxony,Germania,Catholicism,Saxon"
"Hannover,Angria,Saxony,Germania,Catholicism,Saxon"
"Hildesheim,Angria,Saxony,Germania,Catholicism,Saxon"
"Oldenburg,Angria,Saxony,Germania,Catholicism,Saxon"
"Osnabrück,Westfalen,Saxony,Germania,Catholicism,Saxon"
"Tecklenburg,Westfalen,Saxony,Germania,Catholicism,Saxon"
"Munster,Westfalen,Saxony,Germania,Catholicism,Saxon"
"Waldeck,Westfalen,Saxony,Germania,Catholicism,Saxon"
"Paderborn,Westfalen,Saxony,Germania,Catholicism,Saxon"
"Lüneburg,Ostfalen,Saxony,Germania,Catholicism,Saxon"
"Brunswick,Ostfalen,Saxony,Germania,Catholicism,Saxon"
"Hamburg,Ostfalen,Saxony,Germania,Catholicism,Saxon"
"Dannenberg,Ostfalen,Saxony,Germania,Catholicism,Polabian"
"Stendal,Ostfalen,Saxony,Germania,Catholicism,Polabian"
"Meissen,Meissen,Saxony,Germania,Slovianska Pravda,Polabian"
"Dresden,Meissen,Saxony,Germania,Slovianska Pravda,Polabian"
"Wolkenstein,Meissen,Saxony,Germania,Slovianska Pravda,Polabian"
"Osterland,Meissen,Saxony,Germania,Slovianska Pravda,Polabian"
"Naumberg,Meissen,Saxony,Germania,Slovianska Pravda,Polabian"
"Vogtland,Meissen,Saxony,Germania,Slovianska Pravda,Polabian"
"Cottbus,Meissen,Saxony,Germania,Slovianska Pravda,Polabian"
"Görlitz,Meissen,Saxony,Germania,Slovianska Pravda,Polabian"
"Jüterbog,Lausitz,Saxony,Germania,Slovianska Pravda,Polabian"
"Wittenberg,Lausitz,Saxony,Germania,Slovianska Pravda,Polabian"
"Brene,Lausitz,Saxony,Germania,Slovianska Pravda,Polabian"
"Spreewald,Lausitz,Saxony,Germania,Slovianska Pravda,Polabian"
"Lubsko,Lausitz,Saxony,Germania,Slovianska Pravda,Polabian"
"Lubeck,Holstein,Saxony,Germania,Slovianska Pravda,Polabian"
"Stade,Holstein,Saxony,Germania,Catholicism,Saxon"
"Ditmarschen,Holstein,Saxony,Germania,Catholicism,Saxon"
"Schmalkalden,Thüringia,Saxony,Germania,Catholicism,Franconian"
"Göttingen,Thüringia,Saxony,Germania,Catholicism,Franconian"
"Gleichenstein,Thüringia,Saxony,Germania,Catholicism,Franconian"
"Orlamünde,Thüringia,Saxony,Germania,Catholicism,Polabian"
"Lobdaburg,Thüringia,Saxony,Germania,Catholicism,Polabian"
"Holland,Holland,Frisia,Germania,Catholicism,Dutch"
"Westfriesland,Holland,Frisia,Germania,Catholicism,Dutch"
"Zeeland,Holland,Frisia,Germania,Catholicism,Dutch"
"Guelders,Gelre,Frisia,Germania,Catholicism,Dutch"
"Arnheim,Gelre,Frisia,Germania,Catholicism,Dutch"
"Zutphen,Gelre,Frisia,Germania,Catholicism,Dutch"
"Nedersticht,Utrecht,Frisia,Germania,Catholicism,Dutch"
"Oversticht,Utrecht,Frisia,Germania,Catholicism,Dutch"
"Groningen,Utrecht,Frisia,Germania,Catholicism,Dutch"
"Dokkum,Frisia,Frisia,Germania,Catholicism,Dutch"
"Ostfriesland,Frisia,Frisia,Germania,Catholicism,Dutch"
"Frisia,Frisia,Frisia,Germania,Catholicism,Dutch"
"Luxembourg,Luxembourg,Lotharingia,Germania,Catholicism,French"
"Bouillon,Luxembourg,Lotharingia,Germania,Catholicism,French"
"Liege,Luxembourg,Lotharingia,Germania,Catholicism,French"
"Namur,Luxembourg,Lotharingia,Germania,Catholicism,French"
"Brabant,Brabant,Lotharingia,Germania,Catholicism,Franconian"
"Antwerpen,Brabant,Lotharingia,Germania,Catholicism,Franconian"
"Hainaut,Brabant,Lotharingia,Germania,Catholicism,French"
"Cambray,Brabant,Lotharingia,Germania,Catholicism,French"
"Aachen,Jülich,Lotharingia,Germania,Catholicism,Franconian"
"Cleves,Jülich,Lotharingia,Germania,Catholicism,Franconian"
"Maastricht,Jülich,Lotharingia,Germania,Catholicism,Franconian"
"Trier,Upper Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Nancy,Upper Lorraine,Lotharingia,Germania,Catholicism,French"
"Metz,Upper Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Saarbrücken,Upper Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Puttlingen,Upper Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Neufchâteau,Upper Lorraine,Lotharingia,Germania,Catholicism,French"
"Cologne,Lower Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Dortmund,Lower Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Arnsberg,Lower Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Mark,Lower Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Koblenz,Lower Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Berg,Lower Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Sayn,Lower Lorraine,Lotharingia,Germania,Catholicism,Franconian"
"Regensburg,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"München,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Eschenlohe,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Rothenburg,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Geisenhausen,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Frontenhausen,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Falkenstein,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Ingolstadt,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Passau,Bavaria,Bavaria,Germania,Catholicism,Bavarian"
"Eichstätt,Nordgau,Bavaria,Germania,Catholicism,Bavarian"
"Leuchtenburg,Nordgau,Bavaria,Germania,Catholicism,Bavarian"
"Parsberg,Nordgau,Bavaria,Germania,Catholicism,Bavarian"
"Hohenburg,Nordgau,Bavaria,Germania,Catholicism,Bavarian"
"Salzburg,Salzburg,Bavaria,Germania,Catholicism,Bavarian"
"Berchtesgaden,Salzburg,Bavaria,Germania,Catholicism,Bavarian"
"Hallstatt,Salzburg,Bavaria,Germania,Catholicism,Bavarian"
"Linz,Salzburg,Bavaria,Germania,Catholicism,Bavarian"
"Schaumberg,Salzburg,Bavaria,Germania,Catholicism,Bavarian"
"Augsburg,Augsburg,Bavaria,Germania,Catholicism,Swabian"
"Alpsee,Augsburg,Bavaria,Germania,Catholicism,Swabian"
"Kempten,Augsburg,Bavaria,Germania,Catholicism,Swabian"
"Ravensburg,Augsburg,Bavaria,Germania,Catholicism,Swabian"
"Burgau,Augsburg,Bavaria,Germania,Catholicism,Swabian"
"Graz,Steyermark,Bavaria,Germania,Catholicism,Bavarian"
"Pitten,Steyermark,Bavaria,Germania,Catholicism,Bavarian"
"Leibnitz,Steyermark,Bavaria,Germania,Catholicism,Bavarian"
"Mürzzuschlag,Steyermark,Bavaria,Germania,Catholicism,Bavarian"
"Wien,Austria,Bavaria,Germania,Catholicism,Bavarian"
"Hohenau,Austria,Bavaria,Germania,Catholicism,Bavarian"
"Sankt Pölten,Austria,Bavaria,Germania,Catholicism,Bavarian"
"Freistadt,Austria,Bavaria,Germania,Catholicism,Bavarian"
"Amstetten,Austria,Bavaria,Germania,Catholicism,Bavarian"
"Krems,Austria,Bavaria,Germania,Catholicism,Bavarian"
"Innsbruck,Tyrol,Bavaria,Germania,Catholicism,Bavarian"
"Brixen,Tyrol,Bavaria,Germania,Catholicism,Bavarian"
"Lienz,Tyrol,Bavaria,Germania,Catholicism,Bavarian"
"Kärnten,Carinthia,Bavaria,Germania,Catholicism,Bavarian"
"Kammersberg,Carinthia,Bavaria,Germania,Catholicism,Bavarian"
"Knittelfeld,Carinthia,Bavaria,Germania,Catholicism,Bavarian"
"Villach,Carinthia,Bavaria,Germania,Catholicism,Bavarian"
"Kranj,Krain,Bavaria,Germania,Catholicism,Croatian"
"Ljubljana,Krain,Bavaria,Germania,Catholicism,Croatian"
"Pula,Istria,Bavaria,Germania,Catholicism,Croatian"
"Frankfurt,West Franconia,East Francia,Germania,Catholicism,Franconian"
"Mainz,West Franconia,East Francia,Germania,Catholicism,Franconian"
"Klingenberg,West Franconia,East Francia,Germania,Catholicism,Franconian"
"Erbach,West Franconia,East Francia,Germania,Catholicism,Franconian"
"Worms,West Franconia,East Francia,Germania,Catholicism,Franconian"
"Speyer,West Franconia,East Francia,Germania,Catholicism,Franconian"
"Vaihingen,West Franconia,East Francia,Germania,Catholicism,Franconian"
"Durne,West Franconia,East Francia,Germania,Catholicism,Franconian"
"Kaiserslautern,West Franconia,East Francia,Germania,Catholicism,Franconian"
"Würzburg,East Franconia,East Francia,Germania,Catholicism,Franconian"
"Ansbach,East Franconia,East Francia,Germania,Catholicism,Franconian"
"Coburg,East Franconia,East Francia,Germania,Catholicism,Franconian"
"Hohenlohe,East Franconia,East Francia,Germania,Catholicism,Franconian"
"Nürnberg,East Franconia,East Francia,Germania,Catholicism,Franconian"
"Bamberg,East Franconia,East Francia,Germania,Catholicism,Franconian"
"Nördlingen,East Franconia,East Francia,Germania,Catholicism,Franconian"
"Wiltberg,East Franconia,East Francia,Germania,Catholicism,Franconian"
"Kassel,Hesse,East Francia,Germania,Catholicism,Franconian"
"Fulda,Hesse,East Francia,Germania,Catholicism,Franconian"
"Nassau,Hesse,East Francia,Germania,Catholicism,Franconian"
"Marburg,Hesse,East Francia,Germania,Catholicism,Franconian"
"Grisons,Currezia,East Francia,Germania,Catholicism,Swabian"
"Sankt Gallen,Currezia,East Francia,Germania,Catholicism,Swabian"
"Zürich,Currezia,East Francia,Germania,Catholicism,Swabian"
"Strassburg,Alsace,East Francia,Germania,Catholicism,Swabian"
"Breisgau,Alsace,East Francia,Germania,Catholicism,Swabian"
"Colmar,Alsace,East Francia,Germania,Catholicism,Swabian"
"Sundgau,Alsace,East Francia,Germania,Catholicism,Swabian"
"Ulm,Swabia,East Francia,Germania,Catholicism,Swabian"
"Grünningen,Swabia,East Francia,Germania,Catholicism,Swabian"
"Württemberg,Swabia,East Francia,Germania,Catholicism,Swabian"
"Baden,Swabia,East Francia,Germania,Catholicism,Swabian"
"Zollern,Swabia,East Francia,Germania,Catholicism,Swabian"
"Hohenberg,Swabia,East Francia,Germania,Catholicism,Swabian"
"Furstenberg,Swabia,East Francia,Germania,Catholicism,Swabian"
"Praha,Bohemia,Bohemia,Germania,Slovianska Pravda,Czech"
"Litoměřice,Bohemia,Bohemia,Germania,Slovianska Pravda,Czech"
"Žatec,Bohemia,Bohemia,Germania,Slovianska Pravda,Czech"
"Plzeň,Bohemia,Bohemia,Germania,Slovianska Pravda,Czech"
"Doudleby,Bohemia,Bohemia,Germania,Slovianska Pravda,Czech"
"Boleslav,Bohemia,Bohemia,Germania,Slovianska Pravda,Czech"
"Hradec,Bohemia,Bohemia,Germania,Slovianska Pravda,Czech"
"Čáslav,Bohemia,Bohemia,Germania,Slovianska Pravda,Czech"
"Olomouc,Moravia,Bohemia,Germania,Slovianska Pravda,Slovien"
"Opava,Moravia,Bohemia,Germania,Slovianska Pravda,Slovien"
"Přerov,Moravia,Bohemia,Germania,Slovianska Pravda,Slovien"
"Brno,Moravia,Bohemia,Germania,Slovianska Pravda,Slovien"
"Jihlava,Moravia,Bohemia,Germania,Slovianska Pravda,Slovien"
"Znojmo,Moravia,Bohemia,Germania,Slovianska Pravda,Slovien"
"Byzantion,Thrace,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Kalliopolis,Thrace,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Brysis,Thrace,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Mosynopolis,Strymon,Thessalonika,Byzantine Empire,Orthodoxy,Serbian"
"Serres,Strymon,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Naxos,Aegean Islands,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Abydos,Aegean Islands,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Lesbos,Aegean Islands,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Chios,Aegean Islands,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Rhodos,Aegean Islands,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Thessalonika,Thessalonika,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Chalkidike,Thessalonika,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Veria,Thessalonika,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Thessalia,Thessali,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Demetrias,Thessali,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Neopatras,Thessali,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Thessaliotis,Thessali,Thessalonika,Byzantine Empire,Orthodoxy,Greek"
"Nicpolis,Epirus,Epirus,Byzantine Empire,Orthodoxy,Greek"
"Epeiros,Epirus,Epirus,Byzantine Empire,Orthodoxy,Greek"
"Aetolia,Epirus,Epirus,Byzantine Empire,Orthodoxy,Greek"
"Metzovo,Epirus,Epirus,Byzantine Empire,Orthodoxy,Greek"
"Dyrrachion,Dyrrachion,Epirus,Byzantine Empire,Orthodoxy,Greek"
"Arbanon,Dyrrachion,Epirus,Byzantine Empire,Orthodoxy,Greek"
"Debar,Dyrrachion,Epirus,Byzantine Empire,Orthodoxy,Greek"
"Antipatreia,Dyrrachion,Epirus,Byzantine Empire,Orthodoxy,Greek"
"Avlonas,Dyrrachion,Epirus,Byzantine Empire,Orthodoxy,Greek"
"Cephalonia,Cephalonia,Epirus,Byzantine Empire,Orthodoxy,Greek"
"Buthrotum,Cephalonia,Epirus,Byzantine Empire,Orthodoxy,Greek"
"Attica,Athens,Hellas,Byzantine Empire,Orthodoxy,Greek"
"Boeotia,Athens,Hellas,Byzantine Empire,Orthodoxy,Greek"
"Euboea,Athens,Hellas,Byzantine Empire,Orthodoxy,Greek"
"Achaia,Achaia,Hellas,Byzantine Empire,Orthodoxy,Greek"
"Korinthos,Achaia,Hellas,Byzantine Empire,Orthodoxy,Greek"
"Messenia,Achaia,Hellas,Byzantine Empire,Orthodoxy,Greek"
"Laconia,Achaia,Hellas,Byzantine Empire,Orthodoxy,Greek"
"Chandax,Krete,Krete,Byzantine Empire,Orthodoxy,Greek"
"Chania,Krete,Krete,Byzantine Empire,Orthodoxy,Greek"
"Zadar,Dalmatia,Croatia,Byzantine Empire,Catholicism,Croatian"
"Knin,Dalmatia,Croatia,Byzantine Empire,Catholicism,Croatian"
"Cetina,Dalmatia,Croatia,Byzantine Empire,Catholicism,Croatian"
"Gacka,Croatia,Croatia,Byzantine Empire,Catholicism,Croatian"
"Lika,Croatia,Croatia,Byzantine Empire,Catholicism,Croatian"
"Charso,Croatia,Croatia,Byzantine Empire,Catholicism,Croatian"
"Modruš,Croatia,Croatia,Byzantine Empire,Catholicism,Croatian"
"Zagreb,Slavonia,Croatia,Byzantine Empire,Catholicism,Croatian"
"Zagorje,Slavonia,Croatia,Byzantine Empire,Catholicism,Croatian"
"Požega,Slavonia,Croatia,Byzantine Empire,Catholicism,Croatian"
"Vukovár,Slavonia,Croatia,Byzantine Empire,Catholicism,Croatian"
"Rama,Bosnia,Croatia,Byzantine Empire,Krstjani,Bosnian"
"Donji Kraji,Bosnia,Croatia,Byzantine Empire,Krstjani,Bosnian"
"Vhrbosna,Bosnia,Croatia,Byzantine Empire,Krstjani,Bosnian"
"Krajina,Bosnia,Croatia,Byzantine Empire,Krstjani,Croatian"
"Vrbas,Bosnia,Croatia,Byzantine Empire,Krstjani,Croatian"
"Usora,Bosnia,Croatia,Byzantine Empire,Krstjani,Croatian"
"Soli,Bosnia,Croatia,Byzantine Empire,Krstjani,Croatian"
"Pset,Bosnia,Croatia,Byzantine Empire,Krstjani,Bosnian"
"Zachlumia,Zachlumia,Croatia,Byzantine Empire,Slovianska Pravda,Bosnian"
"Završje,Zachlumia,Croatia,Byzantine Empire,Krstjani,Bosnian"
"Paganija,Zachlumia,Croatia,Byzantine Empire,Catholicism,Croatian"
"Ragusa,Dubrovnik,Croatia,Byzantine Empire,Slovianska Pravda,Serbian"
"Rashka,Rashka,Serbia,Byzantine Empire,Slovianska Pravda,Serbian"
"Šumadija,Rashka,Serbia,Byzantine Empire,Orthodoxy,Serbian"
"Podrinje,Rashka,Serbia,Byzantine Empire,Orthodoxy,Serbian"
"Hvosno,Rashka,Serbia,Byzantine Empire,Orthodoxy,Serbian"
"Mačva,Mačva,Serbia,Byzantine Empire,Orthodoxy,Serbian"
"Beograd,Mačva,Serbia,Byzantine Empire,Slovianska Pravda,Serbian"
"Duklja,Duklja,Serbia,Byzantine Empire,Slovianska Pravda,Serbian"
"Pomorje,Duklja,Serbia,Byzantine Empire,Orthodoxy,Serbian"
"Travunija,Duklja,Serbia,Byzantine Empire,Orthodoxy,Serbian"
"Vidin,Vidin,Bulgaria,Byzantine Empire,Slovianska Pravda,Vlach"
"Braničevo,Vidin,Bulgaria,Byzantine Empire,Slovianska Pravda,Vlach"
"Tarnovgrad,Moesia,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Sredets,Moesia,Bulgaria,Byzantine Empire,Orthodoxy,Serbian"
"Nikopolis,Moesia,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Silistra,Moesia,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Vratsa,Moesia,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Aytos,Moesia,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Constanta,Dobrudja,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Mesembria,Dobrudja,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Naissus,Bulgaria,Bulgaria,Byzantine Empire,Orthodoxy,Vlach"
"Niš,Bulgaria,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Velbazhd,Bulgaria,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Pirin,Bulgaria,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Strumica,Bulgaria,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Skopje,Bulgaria,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Ohrid,Bulgaria,Bulgaria,Byzantine Empire,Orthodoxy,Serbian"
"Philippopolis,Philippopolis,Bulgaria,Byzantine Empire,Orthodoxy,Greek"
"Kran,Philippopolis,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Beroë,Philippopolis,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Burgas,Philippopolis,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Adrianopolis,Philippopolis,Bulgaria,Byzantine Empire,Orthodoxy,Greek"
"Zherkovo,Philippopolis,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Rhodopes,Philippopolis,Bulgaria,Byzantine Empire,Orthodoxy,Bulgarian"
"Nicosia,Cyprus,Cyprus,Byzantine Empire,Orthodoxy,Greek"
"Famagusta,Cyprus,Cyprus,Byzantine Empire,Orthodoxy,Greek"
"Nikaea,Opsikion,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Mysia,Opsikion,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Prusa,Opsikion,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Phrygia,Opsikion,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Ionia,Ephesos,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Aeolis,Ephesos,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Lydia,Thracesia,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Thyatira,Thracesia,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Hadrianeia,Thracesia,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Chonae,Thracesia,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Bithynia,Optimatoi,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Tarsos,Optimatoi,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Honorias,Bucellaria,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Galatia,Bucellaria,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Hadrianopolis,Bucellaria,Nikaea,Byzantine Empire,Orthodoxy,Greek"
"Cilicia,Cilicia,Anatolia,Byzantine Empire,Orthodoxy,Greek"
"Seleucia,Cilicia,Anatolia,Byzantine Empire,Orthodoxy,Greek"
"Lycandus,Cilicia,Anatolia,Byzantine Empire,Orthodoxy,Greek"
"Tall Hamid,Cilicia,Anatolia,Byzantine Empire,Orthodoxy,Greek"
